ImageId,ClassId,EncodedPixels
inline_1011.png,0,0
inline_1011.png,1,0
inline_1011.png,2,0
inline_1011.png,3,0
inline_1011.png,4,0
inline_1011.png,5,0
inline_1011.png,6,0
inline_1012.png,0,0
inline_1012.png,1,0
inline_1012.png,2,0
inline_1012.png,3,0
inline_1012.png,4,0
inline_1012.png,5,0
inline_1012.png,6,0
inline_1015.png,0,0
inline_1015.png,1,0
inline_1015.png,2,0
inline_1015.png,3,0
inline_1015.png,4,0
inline_1015.png,5,0
inline_1015.png,6,0
inline_1021.png,0,0
inline_1021.png,1,0
inline_1021.png,2,0
inline_1021.png,3,0
inline_1021.png,4,0
inline_1021.png,5,0
inline_1021.png,6,0
inline_1022.png,0,0
inline_1022.png,1,0
inline_1022.png,2,0
inline_1022.png,3,0
inline_1022.png,4,0
inline_1022.png,5,0
inline_1022.png,6,0
inline_1026.png,0,0
inline_1026.png,1,0
inline_1026.png,2,0
inline_1026.png,3,0
inline_1026.png,4,0
inline_1026.png,5,0
inline_1026.png,6,0
inline_1038.png,0,0
inline_1038.png,1,0
inline_1038.png,2,0
inline_1038.png,3,0
inline_1038.png,4,0
inline_1038.png,5,0
inline_1038.png,6,0
inline_1045.png,0,0
inline_1045.png,1,0
inline_1045.png,2,0
inline_1045.png,3,0
inline_1045.png,4,0
inline_1045.png,5,0
inline_1045.png,6,0
inline_1046.png,0,0
inline_1046.png,1,0
inline_1046.png,2,0
inline_1046.png,3,0
inline_1046.png,4,0
inline_1046.png,5,0
inline_1046.png,6,0
inline_1048.png,0,0
inline_1048.png,1,0
inline_1048.png,2,0
inline_1048.png,3,0
inline_1048.png,4,0
inline_1048.png,5,0
inline_1048.png,6,0
inline_1054.png,0,0
inline_1054.png,1,0
inline_1054.png,2,0
inline_1054.png,3,0
inline_1054.png,4,0
inline_1054.png,5,0
inline_1054.png,6,0
inline_1058.png,0,0
inline_1058.png,1,0
inline_1058.png,2,0
inline_1058.png,3,0
inline_1058.png,4,0
inline_1058.png,5,0
inline_1058.png,6,0
inline_1068.png,0,0
inline_1068.png,1,0
inline_1068.png,2,0
inline_1068.png,3,0
inline_1068.png,4,0
inline_1068.png,5,0
inline_1068.png,6,0
inline_1107.png,0,0
inline_1107.png,1,0
inline_1107.png,2,0
inline_1107.png,3,0
inline_1107.png,4,0
inline_1107.png,5,0
inline_1107.png,6,0
inline_1161.png,0,0
inline_1161.png,1,0
inline_1161.png,2,0
inline_1161.png,3,0
inline_1161.png,4,0
inline_1161.png,5,0
inline_1161.png,6,0
inline_1287.png,0,0
inline_1287.png,1,0
inline_1287.png,2,0
inline_1287.png,3,0
inline_1287.png,4,0
inline_1287.png,5,0
inline_1287.png,6,0
inline_1072.png,0,0
inline_1072.png,1,0
